GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DOSW-Library,edu.eci.dosw.tdd.controller,UserController,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.controller,LoanController,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.controller,BookController,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.controller.tdd,BookTDD,3,0,0,0,1,0,1,0,1,0
DOSW-Library,edu.eci.dosw.tdd.controller.tdd,UserTDD,3,0,0,0,1,0,1,0,1,0
DOSW-Library,edu.eci.dosw.tdd.controller.tdd,LoanTDD,3,0,0,0,1,0,1,0,1,0
DOSW-Library,edu.eci.dosw.tdd.core.model,Libro,6,15,0,0,2,6,2,2,2,2
DOSW-Library,edu.eci.dosw.tdd.core.model,Prestamo,3,35,0,0,1,12,1,7,1,7
DOSW-Library,edu.eci.dosw.tdd.core.model,EstadoPrestamo,0,15,0,0,0,2,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.model,Usuario,3,12,0,0,1,5,1,2,1,2
DOSW-Library,edu.eci.dosw.tdd.controller.mapper,UserMapper,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.controller.mapper,BookMapper,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.controller.mapper,LoanMapper,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.util,DateUtil,3,0,0,0,1,0,1,0,1,0
DOSW-Library,edu.eci.dosw.tdd.core.util,IdGeneratorUtil,3,0,0,0,1,0,1,0,1,0
DOSW-Library,edu.eci.dosw.tdd.core.util,ValidationUtil,3,0,0,0,1,0,1,0,1,0
DOSW-Library,edu.eci.dosw.tdd.core.validator,LoanValidator,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.validator,BookValidator,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.validator,UserValidator,0,3,0,0,0,1,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.exception,LibroNoDisponibleException,0,4,0,0,0,2,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.exception,LimitePrestamosException,0,4,0,0,0,2,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.exception,LibroNoEncontradoException,0,4,0,0,0,2,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd.core.exception,UsuarioNoEncontradoException,0,4,0,0,0,2,0,1,0,1
DOSW-Library,edu.eci.dosw.tdd,DswLibraryApplication,5,3,0,0,2,1,1,1,1,1
DOSW-Library,edu.eci.dosw.tdd.core.service,ServicioUsuarios,0,43,0,0,0,9,0,6,0,6
DOSW-Library,edu.eci.dosw.tdd.core.service,ServicioLibros,0,67,0,0,0,12,0,8,0,8
DOSW-Library,edu.eci.dosw.tdd.core.service,ServicioPrestamos,8,175,5,9,0,35,6,10,1,8
